University Name,Private,Apps,Accept,Enroll,Top10perc,Top25perc
Abilene Christian University,Yes,1660,1232,721,23,52
Adelphi University,Yes,2186,1924,512,16,29
Adrian College,Yes,1428,1097,336,22,50
Agnes Scott College,Yes,417,349,137,60,89
Alaska Pacific University,Yes,193,146,55,16,44
Albertson College,Yes,587,479,158,38,62
Albertus Magnus College,Yes,353,340,103,17,45
Albion College,Yes,1899,1720,489,37,68
Albright College,Yes,1038,839,227,30,63
Alderson-Broaddus College,Yes,582,498,172,21,44
Alfred University,Yes,1732,1425,472,37,75
Allegheny College,Yes,2652,1900,484,44,77
Allentown Coll. of St. Francis de Sales,Yes,1179,780,290,38,64
Alma College,Yes,1267,1080,385,44,73
Alverno College,Yes,494,313,157,23,46
American International College,Yes,1420,1093,220,9,22
Amherst College,Yes,4302,992,418,83,96
Anderson University,Yes,1216,908,423,19,40
Andrews University,Yes,1130,704,322,14,23
Angelo State University,No,3540,2001,1016,24,54
Antioch University,Yes,713,661,252,25,44
Appalachian State University,No,7313,4664,1910,20,63
Aquinas College,Yes,619,516,219,20,51
Arkansas College (Lyon College),Yes,708,334,166,46,74
Arkansas Tech University,No,1734,1729,951,12,52
Assumption College,Yes,2135,1700,491,23,59
Augsburg College,Yes,662,513,257,12,30
Augustana College IL,Yes,1879,1658,497,36,69
Augustana College,Yes,761,725,306,21,58
Austin College,Yes,948,798,295,42,74
Averett College,Yes,627,556,172,16,40
Baker University,Yes,602,483,206,21,47
Baldwin-Wallace College,Yes,1690,1366,662,30,61
Barat College,Yes,261,192,111,15,36
Bard College,Yes,1910,838,285,50,85
Barnard College,Yes,2496,1402,531,53,95
Barry University,Yes,990,784,279,18,45
Beaver College,Yes,1163,850,348,23,56
Bellarmine College,Yes,807,707,308,39,63
Belmont Abbey College,Yes,632,494,129,17,36
Belmont University,Yes,1220,974,481,28,67
Beloit College,Yes,1320,923,284,26,54
Bemidji State University,No,1208,877,546,12,36
Benedictine College,Yes,632,620,222,14,24
Bennington College,Yes,519,327,114,25,53
Bentley College,Yes,3466,2330,640,20,60
Berry College,Yes,1858,1221,480,37,68
Bethany College,Yes,878,816,200,16,41
Bethel College KS,Yes,202,184,122,19,42
Bethel College,Yes,502,384,104,11,28
Bethune Cookman College,Yes,1646,1150,542,12,30
Birmingham-Southern College,Yes,805,588,287,67,88
Blackburn College,Yes,500,336,156,25,55
Bloomsburg Univ. of Pennsylvania,No,6773,3028,1025,15,55
Bluefield College,Yes,377,358,181,15,30
Bluffton College,Yes,692,514,209,20,50
Bowdoin College,Yes,3356,1019,418,76,100
Bradford College,Yes,443,330,151,5,36
Bradley University,Yes,3767,3414,1061,30,58
Brandeis University,Yes,4186,2743,740,48,77
Brenau University,Yes,367,274,158,12,41
Brewton-Parker College,Yes,1436,1228,1202,10,26
Briar Cliff College,Yes,392,351,155,16,44
Bridgewater College,Yes,838,673,292,22,53
Brown University,Yes,12586,3239,1462,87,95
Bryn Mawr College,Yes,1465,810,313,71,95
Bucknell University,Yes,6548,3813,862,49,85
Buena Vista College,Yes,860,688,285,32,70
Butler University,Yes,2362,2037,700,40,68
Cabrini College,Yes,599,494,224,8,28
Caldwell College,Yes,1011,604,213,17,42
California Lutheran University,Yes,563,247,247,23,52
California Polytechnic-San Luis,No,7811,3817,1650,47,73
California State University at Fresno,No,4540,3294,1483,5,60
Calvin College,Yes,1784,1512,913,29,56
Campbell University,Yes,2087,1339,657,20,54
Campbellsville College,Yes,848,587,298,25,55
Canisius College,Yes,2853,2193,753,16,34
Capital University,Yes,1747,1382,449,34,66
Capitol College,Yes,100,90,35,10,52
Carleton College,Yes,2694,1579,489,75,93
Carroll College,Yes,1160,991,352,19,55
Carson-Newman College,Yes,1096,951,464,27,62
Carthage College,Yes,1616,1427,434,20,43
Case Western Reserve University,Yes,3877,3156,713,71,93
Castleton State College,No,1257,940,363,9,22
Catawba College,Yes,1083,880,291,13,34
Catholic University of America,Yes,1754,1465,505,24,49
Cazenovia College,Yes,3847,3433,527,9,35
Cedar Crest College,Yes,776,607,198,25,58
Cedarville College,Yes,1307,1090,616,25,55
Centenary College,Yes,369,312,90,12,46
Centenary College of Louisiana,Yes,495,434,210,35,55
Center for Creative Studies,Yes,601,396,203,1,20
